어휘,뜻풀이
가슬가슬하다,살결이나 물건의 거죽이 매끄럽지 않고 가칠하거나 빳빳하다성질이 보드랍지 못하고 매우 까다롭다
가슴츠레하다,졸리거나 술에 취해서 눈이 흐리멍덩하며 거의 감길 듯하다 거슴츠레하다보다 작은 느낌을 준다
가슴푸레하다, 가슴츠레하다
가승하다,이길 수 있다
가승하다,경치 따위가 아름답고 빼어나다
가신하다,믿을 만하다
가애하다,사랑할 만하다
가엄하다,가혹하고 엄격하다
가없다,끝이 없다
가열차다, 가열하다
가열하다,싸움이나 경기 따위가 가혹하고 격렬하다
가엽다,마음이 아플 만큼 안되고 처연하다
가엾다,마음이 아플 만큼 안되고 처연하다
가의하다,의심할 만하다
가이없다, 가없다
가적하다,마음에 들어 매우 즐겁다
가절하다,빼어나게 아름답다
가중하다,정도가 심하고 부담이 무겁다
가즈럽다,가진 것도 없으면서 가진 체하며 뻐기는 티가 있다
가증맞다,괘씸하고 얄미운 데가 있다
가증스럽다,몹시 괘씸하고 얄밉다
가증하다,괘씸하고 얄밉다
가지런하다,여럿이 층이 나지 않고 고르게 되어 있다
가직하다,거리가 조금 가깝다
가칠가칠하다,야위거나 메말라 살갗이나 털 등의 여기저기가 매우 윤기가 없고 거칠다
가칠하다,야위거나 메말라 살갗이나 털이 윤기가 없고 좀 거칠다
가칫가칫하다,살갗이나 털 따위가 야위거나 메말라 윤기가 없이 매우 거칠다
가칫하다,살갗이나 털 따위가 야위거나 메말라 윤기가 없이 조금 거칠다성미가 좀 거친 듯하다
가탄스럽다,보기에 탄식할 만한 데가 있다
가탄하다,어떤 일이나 상황이 잘못되어 마음으로 탄식할 만하다
가탈스럽다,조건 규정 따위가 복잡하고 엄격하여 적응하거나 적용하기에 어려운 데가 있다성미나 취향 따위가 원만하지 않고 별스러워 맞춰 주기에 어려운 데가 있다
가통하다,통탄할 만하다
가파롭다, 가파르다
가파르다,산이나 길이 몹시 기울어져 있다
가포하다,가혹하고 난폭하다
가폭하다, 가포하다
가풀막지다,땅바닥이 가파르게 비탈져 있다눈앞이 아찔하며 어지럽다
가풀지다, 가풀막지다
가하다,옳거나 좋다안건이나 문제 따위가 자기의 뜻에 맞아 좋다
가합하다,무던히 합당하다
가혹하다,몹시 모질고 혹독하다
각급하다,상태가 매우 심각하고 급하다
각다분하다,일을 해 나가기가 힘들고 고되다
각렴하다,사람의 성품이 엄격하고 청렴하다
각민하다,말이나 행동이 조심스럽고 재빠르다
각박스럽다,인심이 몹시 모질거나 야박한 데가 있다
각박하다,인정이 없고 삭막하다땅이 거칠고 기름지지 아니하다돈 따위를 지나치게 아껴 넉넉하지 않다
각별나다,어떤 일에 대한 마음가짐이나 자세 따위가 유달리 특별하다
각별하다,어떤 일에 대한 마음가짐이나 자세 따위가 유달리 특별하다
각실하다,정성스럽고 참되다
각양각이하다,갖가지 모양으로 서로 다르다
각양하다,모양이 여러 가지로 많다
각이하다,각기 다르다
각지다,물체의 모양이 부드럽지 아니하고 각이 져 있다
간간짭짤하다,음식이 조금 짠 듯하면서도 입에 적당하다
간간하다,마음이 간질간질하게 재미있다아슬아슬하게 위태롭다
간간하다,입맛 당기게 약간 짠 듯하다
간간하다,성품이나 행실 따위가 꼿꼿하고 굳세다
간간하다,마음이 기쁘고 즐겁다강하고 재빠르다
간간하다,매우 간절하다
간거하다,성격이나 태도가 거만하다
간결하다,간단하고 깔끔하다간단하면서도 짜임새가 있다
간경하다,문장이나 말투 따위가 간결하고 힘차다
간고스럽다,생활이나 처지 따위가 어렵고 고생스러운 데가 있다
간고하다,가난하고 고생스럽다처지나 상태가 어렵고 힘들다
간고하다,간단하고 예스럽다
간곡하다,간사하고 꾀바르다
간곡하다,태도나 자세 따위가 간절하고 정성스럽다
간곤하다,몹시 가난하고 구차하다
간곳없다,갑자기 자취를 감추어 온데간데없다
간관하다,길이 험하다수레바퀴 따위가 굴러가며 내는 소리가 요란하다새가 지저귀는 소리가 아름답다문장이 읽기에 어렵고 딱딱하다
간교스럽다,보기에 간사하고 교활한 데가 있다
간교하다,간사하고 교활하다
간구하다,살림이 몹시 어려워 가난에 쪼들리다
간군하다,가난하고 군색하다
간급하다,어렵고 위급하다
간난하다,몹시 힘들고 고생스럽다
간녕하다,아첨을 잘하고 간사하다
간능스럽다,재간 있게 능청스러운 데가 있다
간단간단하다,매우 간단하다각각이 모두 간단하다
간단명료하다,간단하고 분명하다
간단스럽다,간단한 듯하다
간단없다,계속하거나 이어져 있던 것이 끊이지 아니하다
간단하다,단순하고 간략하다간편하고 단출하다단순하고 손쉽다
간데없다,갑자기 자취를 감추어 사라지거나 어디로 갔는지 알 수가 없다조금도 틀리지 아니하고 꼭 들어맞다
간데온데없다,감쪽같이 자취를 감추어 찾을 수가 없다
간독하다,간사하고 독살스럽다
간독하다,정성스럽고 돈독하다
간동하다,흐트러짐이 없이 잘 정돈되어 단출하다
간드러지다,목소리나 맵시 따위가 마음을 녹일 듯이 예쁘고 애교가 있으며 멋들어지게 보드랍고 가늘다
간들어지다, 간드러지다
간략하다,간단하고 짤막하다
간린스럽다,가린스럽다의 원말
간만하다,데면데면하고 게으르다
간명직절하다,간단명료하고 직선적이어서 에두르거나 모호함이 없다
간명하다,간단하고 분명하다
간묵하다,말수가 적고 태도가 신중하다
간미하다,간단하고 아름답다
간박하다,간소하고 순박하다
간비하다,간사하고 나쁘다
간사스럽다,자기의 이익을 위하여 나쁜 꾀를 부리는 등 바르지 않은 데가 있다
간사스럽다,나쁜 꾀를 부리며 거짓으로 남의 비위를 맞추는 태도가 있다지나치게 붙임성이 있고 아양을 떠는 면이 있다
간사하다,자기의 이익을 위하여 나쁜 꾀를 부리는 등 마음이 바르지 않다원칙을 따르지 아니하고 자기의 이익에 따라 변하는 성질이 있다
간사하다,나쁜 꾀가 있어 거짓으로 남의 비위를 맞추는 태도가 있다지나치게 붙임성이 있고 아양을 떠는 면이 있다
간살맞다,매우 간사스럽게 아양을 떠는 태도가 있다
간살스럽다,보기에 간사스럽게 아양을 떠는 태도가 있다
간삽하다,건삽하다의 원말
간성하다,간절하고 정성스럽다
간세하다,간사하고 도량이 적다
간세하다,간략하고 세밀하다
간소하다,간략하고 소박하다
