어휘,뜻풀이
유정하다,그윽하고 조용하다
유조하다,도움이 있다
유족하다,형편 따위가 넉넉하다충분하고 만족스럽다
유족하다,여유 있게 풍족하다
유종하다,시작한 일에 끝이 있다
유죄하다,잘못이나 죄가 있다피고 사건이 법률상 죄가 되거나 범죄로 증명된 상태에 있다
유주무량하다,술을 얼마든지 마실 만큼 주량이 크다 공자의 주량을 언급한 논어 향당 편의 술을 마실 때는 일정한 양이 없었는데 어지러운 지경에 이르지 않았다에서 유래한 말이다
유주하다,임자가 있다
유준하다,깊숙하고 험준하다
유지각하다,알아서 깨닫는 능력이 있다
유지하다,어떤 일에 뜻이 있거나 관심이 있다
유착스럽다,몹시 투박하고 큰 데가 있다
유착하다,몹시 투박하고 크다
유창하다,말을 하거나 글을 읽는 것이 물 흐르듯이 거침이 없다
유책하다,하여야 할 임무가 있다
유처하다,아내가 있다
유체스럽다,젠체하고 진중한 체하며 말이나 행실 따위가 온화한 데가 없다
유출유괴하다,갈수록 더 괴상하다
유출유기하다,점점 더 기이하다
유충하다,나이가 어리다
유취하다,부드럽고 연약하다
유치찬란하다,수준이나 정도가 엄청나게 낮다
유치하다,나이가 어리다수준이 낮거나 미숙하다
유쾌하다,즐겁고 상쾌하다
유타하다,빈들빈들 놀기만 좋아하고 게으르다
유표하다,여럿 가운데 두드러진 특징이 있다
유표하다,어떤 표지가 있다
유풍하다,여유 있고 넉넉하다
유하다,있다의 뜻을 나타낸다
유하다,부드럽고 순하다걱정이 없다
유한정정하다,부녀의 태도나 마음씨가 얌전하고 정조가 바르다
유한하다,수 양 공간 시간 따위에 일정한 한도나 한계가 있다
유한하다,시간의 여유가 있어 한가하다재물이 많아 생활에 여유가 있고 여가가 많다
유한하다,여자의 인품이 조용하고 그윽하다
유해롭다,해로운 요소가 있다
유해무익하다,해롭기만 하고 이로움이 없다
유해하다,해로움이 있다
유향하다,향기가 있다
유험하다,기도나 약 따위가 효력이나 효험이 있다
유현하다,이치나 아취가 알기 어려울 정도로 깊고 그윽하며 미묘하다캄캄하고 아득하다
유형무적하다,혐의는 있으나 증거가 없다
유형무형하다,모양이 있고 없다형체가 있는지 없는지 분명하지 아니하다
유형하다,형상이나 형체가 있다
유혼하다,그윽하고 어둡다
유화하다,성품이 부드럽고 온화하다
유활하다,부드럽고 매끈하다
유효적절하다,아주 효과적이고 알맞다
유효하다,보람이나 효과가 있다법률적 행위가 당사자나 법률이 의도한 본래의 효과가 있다
육니하다,부끄럽고 창피하다
육다골소하다,살이 많고 뼈가 적다
육둔하다,덩어리가 크고 둔하다
육리하다,여러 빛이 서로 뒤섞이어 눈이 부시게 아름답다
육중스럽다,투박하고 무거운 듯하다
육중하다,투박하고 무겁다
육후하다,살이 두툼하다
윤공하다,진실로 공손하다
윤공하다,성실하고 공손하다
윤당하다,진실로 마땅하다
윤미하다,윤이 나서 아름답다
윤지다,윤기가 많다
윤척없다,글이나 말에서 횡설수설하여 순서와 조리가 없다
윤태하다,광택에 윤기가 있다
윤택하다,광택에 윤기가 있다살림이 풍부하다
윤환하다,집이 크고 넓으며 아름답다
율렬하다,추위가 맵고 심하다
율줄하다,산이 높고 험준하다
융랑하다,환하고 맑다화평하고 밝다
융숭하다,대우하는 태도가 정중하고 극진하다
융악하다,군주의 은혜가 매우 넓고 두텁다
융연하다,우뚝 솟아 있는 상태이다
융융하다,화목하고 평화스럽다
으늑하다,푸근하게 감싸인 듯 편안하고 조용한 느낌이 있다조용하고 깊숙하다
으리으리하다,모양이나 규모가 압도될 만큼 굉장하다
으뭉스럽다, 의뭉스럽다
으스레하다,조금 침침하고 흐릿하다
으스름하다,빛 따위가 침침하고 흐릿하다
으스스하다,차거나 싫은 것이 몸에 닿았을 때 크게 소름이 돋는 느낌이 있다
으슥하다,무서움을 느낄 만큼 깊숙하고 후미지다아주 조용하다
으슬으슬하다,소름이 끼칠 정도로 매우 차가운 느낌이 잇따라 드는 듯하다
으슴푸레하다,달빛이나 불빛 따위가 침침하고 흐릿하다
으쓱으쓱하다,갑자기 무섭거나 차가움을 느낄 때 몸이 크게 움츠러드는 데가 있다
으쓱하다,갑자기 무섭거나 차가움을 느낄 때 몸이 크게 움츠러드는 데가 있다
은근무례하다,지나치게 겸손하고 정중하게 대접하여 오히려 무례하다
은근미롱하다,지나치게 겸손하고 정중하게 대접하여 오히려 무례하다
은근하다,야단스럽지 아니하고 꾸준하다정취가 깊고 그윽하다행동 따위가 함부로 드러나지 아니하고 은밀하다겉으로 나타내지는 아니하지만 속으로 생각하는 정도가 깊고 간절하다
은미하다,겉으로 드러나는 것이 거의 없다묻히거나 작아서 알기 어렵다
은밀스럽다,보기에 은밀한 데가 있다
은밀하다,숨어 있어서 겉으로 드러나지 아니하다
은벽하다,사람의 왕래가 드물고 구석지다
은부하다,넉넉하고 풍성하다
은성하다,번화하고 풍성하다
은약하다,말은 간단하나 뜻이 깊다
은연하다,겉으로 뚜렷하게 드러나지 아니하고 어슴푸레하며 흐릿하다소리가 아득하여 들릴 듯 말 듯 하다
은윽하다, 으늑하다
은은하다,멀리서 들려오는 대포 우레 차 따위의 소리가 요란하고 힘차다
은은하다,겉으로 뚜렷하게 드러나지 아니하고 어슴푸레하며 흐릿하다소리가 아득하여 들릴 듯 말 듯 하다냄새가 진하지 않고 그윽하다
은진하다,활기차게 번창하는 상태에 있다
은창하다,번화하고 풍성하다
은통하다,은근히 아프다
은풍하다,넉넉하고 많다
은혜롭다,고맙게 베풀어 주는 신세나 혜택이 있다
을모지다,책상의 귀처럼 세모지다
을씨년스럽다,보기에 날씨나 분위기 따위가 몹시 스산하고 쓸쓸한 데가 있다보기에 살림이 매우 가난한 데가 있다
을씨년하다, 을씨년스럽다
음교하다,매우 교활하고 교묘하다함부로 기교를 사용하는 태도가 있다
음교하다,성격이나 행동 따위가 음란하고 교만하다
음독하다,성질이 음험하고 독하다
음란스럽다,보기에 음탕하고 난잡한 데가 있다
음란하다,음탕하고 난잡하다
음랭하다,그늘지고 차다
음량하다,날씨 따위가 음산하고 서늘하다그늘져서 서늘하다
음미하다,남녀 교제나 풍속 몸차림 따위가 절도가 없이 음란하고 사치하다
음밀하다,숨어 있어서 겉으로 드러나지 아니하다
음방하다,주색에 빠져 행동이 거칠다
음비하다,음란하고 바르지 않다
음비하다,성질이 내숭스럽고 우악하다
음사하다,음란하고 사치하다
음사하다,성격이 음흉하고 사악하다
음산스럽다,분위기가 음산한 데가 있다
음산하다,날씨가 흐리고 으스스하다분위기 따위가 을씨년스럽고 썰렁하다
음삼하다,나무가 무성해서 어둡다분위기 따위가 어둠침침하고 쓸쓸하다
음상사하다,글자는 다르나 음은 서로 같다
음설하다,음란하고 외설스럽다
음습하다,그늘이 지고 축축하다정서적으로 느끼기에 음산하고 눅눅하다
음암하다,음침하고 어둡다
음양상박하다,음과 양이 서로 합하지 아니하다
음염하다,남으로 하여금 색정을 일으키게 할 만큼 음란하고 방탕하고 요염하다
음예하다,말이나 행동 따위가 음란하고 방탕하고 더럽다
음예하다,하늘이 구름에 덮여 어둡다
음외하다,음란하고 방탕하다
음우회명하다,비가 몹시 내려 캄캄하다
음울하다,기분이나 분위기 따위가 음침하고 우울하다
음음적막하다,분위기 따위가 어둡고 쓸쓸하다
음음하다,날씨나 분위기 따위가 흐리고 어둡다수목이 우거져 깊고 어둡다
음전하다,말이나 행동이 곱고 우아하다 또는 얌전하고 점잖다
음참하다,음침하고 참혹하다
음충맞다,성질이 매우 음충한 데가 있다
음충스럽다,마음이 음흉하고 불량한 태도나 느낌이 있다
음충하다,마음이 음흉하고 불량하다
음침스럽다,보기에 음침한 데가 있다
음침하다,성질이 명랑하지 못하고 의뭉스럽다분위기가 어두컴컴하고 스산하다날씨가 흐리고 컴컴하다
음탕스럽다,겉으로 보기에 음탕한 태도가 있다
음탕하다,음란하고 방탕하다
음특하다,성질이 음란하고 방탕하고 간악하다
음특하다,성질이 음흉하고 간사하다
음하다,색정에 대한 욕심이 지나치게 많다
음하다,날씨가 흐리다마음이 엉큼하고 검다
음학무도하다,음탕하고 잔학하며 도의가 없다
음학하다,음탕하고 잔학하다
음한하다,날씨가 음산하고 춥다
음허하다,지나친 방사로 정력이 허하다
음험하다,겉으로는 부드럽고 솔직한 체하나 속은 내숭스럽고 음흉하다음산하고 험악하다
음황하다,주색에 빠져 행동이 거칠다
음회하다,날이 흐리고 어둡다
음휼하다,성질이 음흉하고 간사하다
음흉스럽다,겉으로는 부드러워 보이나 속으로는 엉큼하고 흉악한 데가 있다
음흉하다,겉으로는 부드러워 보이나 속으로는 엉큼하고 흉악하다
읍각부동하다,규칙이나 풍속이 각 고을마다 차이가 있다사람마다 의견이 서로 다르다
읍울하다,걱정스러워 마음이 답답하다
읍읍불락하다,마음이 매우 불쾌하고 답답하여 즐겁지 아니하다
읍읍하다,마음이 매우 불쾌하고 답답하여 편하지 아니하다
응달지다,그늘이 져 있다
응당하다,행동이나 대상 따위가 일정한 조건이나 가치에 꼭 알맞다그렇게 하거나 되는 것이 이치로 보아 옳다
응분하다,어떠한 분수나 정도에 알맞다
응석스럽다,보기에 어른들이 귀여워해 줄 것을 믿고 버릇없이 구는 태도가 있다
응성깊다, 웅숭깊다
응연하다,태도나 행동거지가 단정하고 듬직하다
응연하다,마땅히 그러하다
응적하다,모든 것이 얼어붙은 듯이 쓸쓸하다
응접무가하다,일이 몹시 바쁘다 응접에 바빠 겨를이 없다는 뜻에서 나온 말이다
응접불가하다,일이 몹시 바쁘다 응접에 바빠 겨를이 없다는 뜻에서 나온 말이다
의구하다,옛날 그대로 변함이 없다
의기소침하다,기운이 없어지고 풀이 죽은 상태이다
의기양양하다,뜻한 바를 이루어 만족한 마음이 얼굴에 나타난 상태이다
의기왕성하다,기세가 부쩍 성하다
의기저상하다,기운이 없어지고 풀이 죽은 상태이다
의기차다,의기가 매우 드높고 힘차다
의기충천하다,의지와 기개가 하늘을 찌를 듯하다
의당하다,사물의 이치와 같이 그러하다
의동일실하다,한집안 식구처럼 정의가 두텁다
의롭다,정의를 위한 의기가 있다
의리당연하다,사람으로서 지켜야 할 도리에 마땅하다
의리부동하다,의리에 맞지 아니한 데가 있다
의문스럽다,보기에 의문 나는 데가 있다
의뭉스럽다,보기에 겉으로는 어리석어 보이나 속으로는 엉큼한 데가 있다
의뭉하다,겉으로는 어리석은 것처럼 보이면서 속으로는 엉큼하다
의미심장하다,뜻이 매우 깊다
의미하다,아리송하고 어렴풋하다
의불합하다,뜻이 서로 맞지 않다
의사무사하다,같은 것 같기도 하고 같지 않은 것 같기도 하다 또는 어떤 일을 한 것 같기도 하고 안 한 것 같기도 하다
의사스럽다,제법 속생각이 깊고 쓸모 있는 생각을 곧잘 해내는 힘이 있다
의사하다,실제와 비슷하다
의수하다,거짓으로 꾸민 것이 그럴듯하다
의심스럽다,확실히 알 수 없어서 믿지 못할 만한 데가 있다
의심쩍다,확실히 알 수 없어서 믿지 못할 만한 데가 있다
의아스럽다,의심스럽고 이상한 데가 있다
의아쩍다,의심스럽고 이상한 데가 있다
의아하다,의심스럽고 이상하다
의연하다,전과 다름이 없다
의연하다,의지가 굳세어서 끄떡없다
의열하다,의기가 장렬하다
의열하다,굳세고 열렬하다
의외롭다,뜻밖이라고 생각되는 느낌이 있다
의위하다,가부를 결정하지 못하고 우물쭈물하고 있다
의의하다,풀이 무성하여 싱싱하게 푸르다기억이 어렴풋하다헤어지기가 서운하다부드럽고 약하다
의의하다,아름답고 성하다바람 소리가 부드럽다
의이스럽다,의심스럽고 괴이한 데가 있다
의이하다,의심스럽고 괴이하다
의젓잖다,말이나 행동 따위가 점잖지 못하고 가벼운 데가 있다
의젓하다,말이나 행동 따위가 점잖고 무게가 있다
의좋다,정의가 두텁다
의지가지없다,의지할 만한 대상이 없다 또는 다른 방도가 없다
의지박약하다,의지력이 약하여 독자적인 결단을 내리거나 인내하지 못하는 상태이다
의초롭다,화목하여 우애가 두텁다
의하다,생각이 똑똑하지 않다
의합하다,일이나 조건 따위에 꼭 알맞다
의합하다,뜻이나 마음이 서로 맞는 데가 있다사이가 좋다
의현하다,의심하여 마음이 어지럽다
의협하다,정의를 위하여 강자에 맞서서 약자를 도와주는 의로움이 있다
의형의제하다,형제간의 우애가 두텁다
의희하다,거의 비슷하다물체 따위가 희미하고 흐릿하다
이곡하다,이치에 어그러져 바르지 못하다
이교하다,예리하고 교묘하다이익을 취하는 데 약빠르고 간교하다
이구하다,이미 오래되다
이굴하다,이치에 어그러져 바르지 못하다
이궁하다,이치 또는 사리가 막혀 어쩔 도리가 없다
이둔하다,날카롭고 무디다영리하고 우둔하다
이드거니하다,충분한 분량으로 만족스럽다
이드르르하다,번들번들 윤기가 돌고 부드럽다
이드를하다,이드르르하다의 준말
이들이들하다,번들번들 윤기가 돌고 부들부들하다
이등하다,남달리 재능이 뛰어나다
이러루하다,정도나 형편 따위가 대개 이러하다
이러이러하다,이러하고 이러하다대개 이러하여 별로 특별하지 아니하다
이러저러하다,이러하고 저러하다
이러하다,이렇다의 본말
이렇다,상태 모양 성질 따위가 이와 같다
이롭다,이익이 있다끝이 뾰족하거나 날이 서서 날카롭다
이룽이룽하다,어른거리는 것이 흐리고 뚜렷하지 아니하다
이륜하다,보통 수준보다 훨씬 뛰어나다
이르다,대중이나 기준을 잡은 때보다 앞서거나 빠르다
이리하다,풀이나 열매 따위가 많이 늘어져 있거나 매달려 있다여럿이 서로 분명하게 구별이 되도록 또렷또렷하다여러 가닥으로 찢어져 있다사람들과의 어울림이 벌어져서 틈이 있다
이마마하다,이 정도만 하다
이만저만하다,이만하고 저만하다
이만하다,상태 모양 성질 따위의 정도가 이러하다
이매하다,사리에 어둡고 어리석다
이목하다,기쁘고 화목하다
이물스럽다,성질이 음험하여 속을 헤아리기에 어려움이 있다
이믜롭다, 임의롭다
이뿌다, 예쁘다
이쁘다,생긴 모양이 아름다워 눈으로 보기에 좋다행동이나 동작이 보기에 사랑스럽거나 귀엽다아이가 말을 잘 듣거나 행동이 발라서 흐뭇하다
이쁘디이쁘다,매우 예쁘다
이쁘장스럽다,제법 예쁜 데가 있다
이쁘장하다,제법 예쁘다
이상스럽다,보기에 이상한 데가 있다
이상야릇하다,정상적이지 않고 별나며 괴상하다
이상하다,정상적인 상태와 다르다지금까지의 경험이나 지식과는 달리 별나거나 색다르다의심스럽거나 알 수 없는 데가 있다
이석격석하다,힘이 거의 같다 돌로 돌을 때린다는 뜻에서 나온 말이다
이소고연하다,이치가 본래부터 그러하다
이소당연하다,이치가 마땅히 그러하다
이속하다,상스럽고 속되다
이수하다,파리하고 수척하다
이순하다,사리가 정당하다
이슥하다,밤이 꽤 깊다지난 시간이 얼마간 오래다
이심스럽다,지나치게 심한 데가 있다
이심하다,지나치게 심하다
이악스럽다,달라붙는 기세가 굳세고 끈덕진 데가 있다이익을 위하여 지나치게 아득바득하는 태도가 있는 듯하다
이악이악하다,달라붙는 기세가 매우 굳세고 끈덕지다
이악하다,달라붙는 기세가 굳세고 끈덕지다이익을 위하여 지나치게 아득바득하는 태도가 있다
이양하다,모양이 다르다
이어인하다,보통 사람과 다르다
이어중하다,무리 가운데에서 뛰어나다
이억이억하다,달라붙는 기세가 몹시 굳세고 끈덕지다
이억하다,달라붙는 기세가 꽤 굳세고 끈덕지다이익을 위하여 몹시 지나치게 아득바득하는 태도가 있다
이여이하다,해내기 쉽다
이역부득하다,달리 변통할 도리가 없다
이연하다,기쁘고 좋다
이연하다,빛이 검다동의하는 기색이 있다틀림없이 확실하다
이열하다,즐겁고 기쁘다
이유하다,즐겁고 기쁘다
이융하다,열에 녹기 쉽다
이이하다,기쁘고 좋다
이지다,물고기 닭 돼지 따위가 살이 쪄서 기름지다음식을 충분히 먹어서 배가 부르다
이지렁스럽다,능청맞고 천연스럽다
이직하다,이치가 바르다
이채롭다,보기에 색다른 데가 있다
이타하다,마음이 느슨하여 몹시 게으르다
이하다,이익이나 이득이 되다
이해상반하다,이익과 손해가 반반씩 어슷비슷하다
이해하다,이해하기 쉽다
이행하다,행하기 쉽다
익다,자주 경험하여 조금도 서투르지 않다여러 번 겪어 설지 않다눈이 어둡거나 밝은 곳에 적응한 상태에 있다
익달하다,여러 번 겪어 매우 능숙하거나 익숙하다
익살맞다,남을 웃기려고 일부러 우스운 말이나 행동을 하는 태도가 있다
익살스럽다,남을 웃기려고 일부러 우스운 말이나 행동을 하는 데가 있다
익숙하다,어떤 일을 여러 번 하여 서투르지 않은 상태에 있다어떤 대상을 자주 보거나 겪어서 처음 대하지 않는 느낌이 드는 상태에 있다눈이 어둡거나 밝은 곳에 적응해 웬만큼 볼 수 있다
익심하다,갈수록 더욱 심하다
익연하다,새가 날개를 편 것처럼 좌우가 넓다
익익하다,삼가고 조심하는 태도가 있다
인결하다,순수하고 깨끗하다
인곤마핍하다,사람과 말이 모두 지쳐 피곤하다
인귀상반하다,오랜 병이나 심한 고통으로 몹시 쇠약해져 뼈만 남아 있는 상태이다 반은 사람이고 반은 귀신이라는 뜻에서 나온 말이다
인귀하다,사람이 드물다인물이 귀하다
인덕하다,어질고 덕이 있다
인독하다,어질고 인정이 두텁다
인린하다,비늘처럼 빛이 나고 곱다
인명하다,어질고 명석하다
인비하다,비늘과 같이 차례로 잇닿아 있다
인색하다,재물을 아끼는 태도가 몹시 지나치다어떤 일을 하는 데 대하여 지나치게 박하다
인석하다,재물을 아끼는 태도가 몹시 지나치다어떤 일을 하는 데 대하여 지나치게 박하다
인선하다,어질고 착하다
인성만성하다,많은 사람이 모여 혼잡하고 떠들썩한 상태이다정신이 어지럽고 흐릿하다
인순하다,어질고 순하다
인순하다,산이 첩첩이 싸여 깊숙하다여러 계단을 이룬 상태에 있다
인약하다,성품이 어질고 약하다
인용하다,어질고 용감하다
인울하다,가슴이 찌뿌드드하고 답답하다
인유하다,어질고 부드럽다
인자롭다,보기에 마음이 어질고 자애로운 데가 있다
인자스럽다,보기에 마음이 어질고 자애로운 데가 있다
인자하다,마음이 어질고 자애롭다
인정사정없다,인정을 베푸는 것도 없고 사정을 봐주는 것도 없다는 뜻으로 무자비할 만큼 몹시 엄격함을 이르는 말
인정스럽다,보기에 인정을 베푸는 데가 있다
인제하다,어질고 공손하다
인지하다,어질고 슬기롭다
인차하다,비늘과 같이 차례로 잇닿아 있다
인하다,재물을 아끼는 태도가 몹시 지나치다어떤 일을 하는 데 대하여 지나치게 박하다
인혜하다,어질고 은혜롭다
인후하다,어질고 후덕하다
인희지광하다,땅은 넓으나 사람 수가 적다
일가하다,시렁에 물건이 가득하다
일거무소식하다,한 번 간 뒤로 소식이 없다
일견여구하다,처음 만났지만 마음이 맞고 정이 들어 옛날부터 사귄 벗처럼 친밀하다
일구월심하다,세월이 흐를수록 더하다 날이 오래고 달이 깊어 간다는 뜻에서 나온 말이다
일구하다,시일이 오래다
일군하다,재능 따위가 여럿 가운데 썩 뛰어나다
일긋하다,한쪽으로 조금 쏠리어 비뚤어져 있다
일긴하다,가장 긴요하다
일길신량하다,경사스러운 행사를 거행하려고 미리 받아 놓은 날짜가 길하고 때가 좋다
일길하다,날짜가 길하다
일난풍화하다,날씨가 따뜻하고 바람이 부드럽다
일다,이르다의 준말
일르다, 이르다
일망무애하다,한눈에 바라볼 수 없을 정도로 아득하게 멀고 넓어서 끝이 없다
일망무제하다,한눈에 바라볼 수 없을 정도로 아득하게 멀고 넓어서 끝이 없다
일매지다,모두 다 고르고 가지런하다
일면여구하다,처음 만났으나 안 지 오래된 친구처럼 친밀하다
일명하다,햇빛이 밝다
일모도궁하다,날은 저물고 갈 길은 막힌 상태이다비유적으로 늙고 쇠약하여 앞날이 멀지 아니하다
일모도원하다,늙고 쇠약한데 앞으로 해야 할 일은 많다 날은 저물고 갈 길은 멀다는 뜻으로 사기의 오자서열전에서 유래한 말이다
일목요연하다,한 번 보고 대번에 알 수 있을 만큼 분명하고 뚜렷하다
일무실착하다,침착하고 치밀하여 일을 처리하는 데에 하나의 실수나 잘못이 없다
일무차착하다,침착하고 치밀하여 일을 처리하는 데에 하나의 실수나 잘못이 없다
일무하다,하나도 없다
일문불통하다,한 글자도 읽을 수 없다서로 한 통의 편지 왕래가 없다
일불가급하다,날마다 바빠서 여가가 없다
일빈일부하다,한때는 가난하고 한때는 부유하다
일사불란하다,질서가 정연하여 조금도 흐트러지지 아니한 상태이다 한 오리 실도 엉키지 아니하다는 뜻에서 나온 말이다
일수하다,빼어나게 우수하다
일심하다,날로 심하다
일안만강하다,매일 편안하고 항상 건강하다
일안하다,한결같이 편안하다
일안하다,날마다 편안하다
일야무간하다,밤낮으로 끊임이 없다
일없다,소용이나 필요가 없다걱정하거나 개의할 필요가 없다
일여하다,진여의 이치가 평등하고 차별이 없어 둘이 아니고 하나이다
일월여천하다,해와 달이 하늘에 걸려 있다
일위하다,뛰어나고 훌륭하다
일이하다,뛰어나고 특이하다
일일여삼추하다,몹시 애태우며 기다리는 듯하다 하루가 삼 년 같다는 뜻에서 나온 말이다
일자무식하다,글자를 한 자도 모를 정도로 무식하다비유적으로 어떤 분야에 대하여 아는 바가 하나도 없다
일정하다,어떤 것의 크기 모양 범위 시간 따위가 하나로 정하여져 있다어떤 것의 양 성질 상태 계획 따위가 달라지지 아니하고 한결같다전체적으로 흐름이나 절차가 규칙적이다어느 하나이다 또는 어느 하나로 정하여져 있다얼마간이다 또는 얼마간으로 정하여져 있다어떻다 또는 어떻게 정하여져 있다
일쩝다,일거리가 되어 귀찮거나 불편하다
일천하다,시작한 뒤로 날짜가 얼마 되지 아니하다
일총하다,썩 뛰어나게 총명하다
일출하다,보통보다 뛰어나다
일한일망하다,한가하기도 하고 바쁘기도 하다
임대책중하다,맡은 일이 크고 책임이 무겁다
임록하다,피 땀 물 따위의 액체가 흘러 흥건하다
임리하다,피 땀 물 따위의 액체가 흘러 흥건하다사람의 몸이나 글씨 그림 따위에 힘이 넘치는 듯하다
임림총총하다,많이 모여 빽빽하게 들어서 있는 상태이다
임림하다,비 또는 물방울이 떨어지는 듯하다
임약하다,부드럽고 약하다
임염하다,부드럽고 연약하다
임의롭다,일정한 기준이나 원칙이 없어 하고 싶은 대로 할 수 있다서로 친하여 거북하지 아니하고 행동에 구애됨이 없다
임중도원하다,맡은 책임은 무겁고 이를 수행할 길은 멀다
임협하다,약자를 돕고 강자를 물리치는 정의감이 있다
입바르다,바른말을 하는 데 거침이 없다
입빠르다,남에게서 들은 말이나 자신의 생각을 참을성 없이 지껄이는 버릇이 있다
잉편하다,늘 편안하다
자검하다,인정이 많고 검소하다
자그럽다,날카로운 소리가 신경을 자극하여 몹시 듣기에 거북하다
자그마하다,조금 작다그리 대단하지 않은 듯하다
자그맣다,자그마하다의 준말자그마하다의 준말
자글자글하다,물체가 쪼그라들어 잔주름이 많다
자금자금하다,여럿이 다 자그마하다
자긋자긋하다,진저리가 나도록 싫고 괴롭다몸에 소름이 끼치도록 잔인하다
자깝스럽다,어린아이가 마치 어른처럼 행동하거나 젊은 사람이 지나치게 늙은이의 흉내를 내어 깜찍한 데가 있다 잡상스럽다
자냥스럽다,재잘거리는 소리가 듣기에 똑똑한 데가 있다
자늑자늑하다,동작이 조용하며 가볍고 진득하게 부드럽고 가볍다
자닝스럽다,애처롭고 불쌍하여 차마 보기 어려운 데가 있다
자닝하다,애처롭고 불쌍하여 차마 보기 어렵다
자다랗다, 잗다랗다
자디잘다,아주 가늘고 작다성질이 아주 좀스럽다
자란자란하다,액체가 그릇에 가득 차 가장자리에서 넘칠 듯 말 듯 하다물건의 한쪽 끝이 다른 물건에 가볍게 스칠 듯 말 듯 하다
자랑스럽다,남에게 드러내어 뽐낼 만한 데가 있다
자랑차다,남에게 드러내어 몹시 뽐낼 만한 데가 있다
자르르하다,물기나 기름기 윤기 따위가 많이 흘러서 반지르르하다
자르르하다,뼈마디나 몸의 일부가 조금 자린 듯하다움직임이나 열 전기 따위가 한 지점에서 주위로 조금 빠르게 퍼져 나가는 듯하다
자름하다,약간 잔 듯하다
자리다,뼈마디나 몸의 일부가 좀 눌려서 피가 잘 통하지 못하여 감각이 둔하고 아리다뼈마디나 몸의 일부가 쏙쏙 쑤시듯이 아프다가슴이나 마음 따위가 아픈 느낌이 있다
자리자리하다,피가 돌지 못하여 자꾸 자린 듯하다
자릿자릿하다,매우 또는 자꾸 자린 듯하다심리적 자극을 받아 마음이 순간적으로 꽤 흥분되고 떨리는 듯하다
자릿하다,조금 자린 듯하다심리적 자극을 받아 마음이 순간적으로 조금 흥분되고 떨리는 듯하다
자명하다,설명하거나 증명하지 아니하여도 저절로 알 만큼 명백하다
자몽하다,졸릴 때처럼 정신이 흐릿한 상태이다
자무하다,우거져 무성하다
자미스럽다, 재미스럽다
자발머리없다,자발없다를 속되게 이르는 말
자발스럽다,보기에 행동이 가볍고 방정맞다
자발없다,행동이 가볍고 참을성이 없다
자발적다, 자발없다
자방하다,어려워하거나 조심스러워하는 태도가 없이 무례하고 건방지다
자번하다,우거져 무성하다많아서 번거롭다
자변첩질하다,천성적으로 말솜씨가 좋고 행동이 빠르다
자별나다,본디부터 남다르고 특별하다
자별하다,본디부터 남다르고 특별하다친분이 남보다 특별하다
자보록하다, 자오록하다
자부룩하다,공중으로 높이 올라가서 까마득하다 자오록하다
자분자분하다,성질이나 태도가 부드럽고 조용하며 찬찬하다
자분자분하다,부드러운 물건이 씹히는 데가 있다
자비롭다,남을 깊이 사랑하고 가엾게 여기는 마음이 있는 듯하다
자비스럽다,보기에 남을 깊이 사랑하고 가엾게 여기는 마음이 있다
자빠듬하다, 잦바듬하다
자빠름하다,자빠질 것같이 조금 비스듬하다
자뿌룩하다,조금 어긋난 상태에 있다
자사하다,제멋대로 하는 면이 있다
자살궂다, 데설궂다
자상스럽다,찬찬하고 자세한 데가 있다인정이 넘치고 정성이 지극한 듯하다
자상하다,찬찬하고 자세하다인정이 넘치고 정성이 지극하다
자세하다,사소한 부분까지 아주 구체적이고 분명하다성질 따위가 꼼꼼하고 세심하다
자소하다,나이에 비해 어리고 좀스럽다
자손신신하다,자손이 많다
자신만만하다,매우 자신이 있다
자심하다,더욱 심하다
자애롭다,자애를 베푸는 사랑과 정이 깊다
자약하다,큰일을 당해서도 놀라지 아니하고 보통 때처럼 침착하다
자여하다,큰일을 당해서도 놀라지 아니하고 보통 때처럼 침착하다
자연스럽다,억지로 꾸미지 아니하여 이상함이 없다순리에 맞고 당연하다힘들이거나 애쓰지 아니하고 저절로 된 듯하다
자연하다,저절로 되어 억지나 거짓이 없다
자오록하다,연기나 안개 따위가 잔뜩 끼어 흐릿하고 고요한 느낌이 있다
자옥하다,연기나 안개 따위가 잔뜩 끼어 흐릿하다
자우룩하다,연기나 안개 따위가 잔뜩 끼어 매우 흐리고 고요한 느낌이 있다
자욱하다,연기나 안개 따위가 잔뜩 끼어 흐릿하다
자유롭다,구속이나 속박 따위가 없이 제 마음대로 할 수 있다
자유분방하다,격식이나 관습에 얽매이지 아니하고 행동이 자유롭다
자유스럽다,구속이나 속박 따위가 없이 제 마음대로 할 수 있는 상태에 있다
자유자재하다,거침없이 자기 마음대로이다
자인하다,자애롭고 인자하다
자자분하다, 자질구레하다
자자하다,꾸준하게 부지런하다
자자하다,여러 사람의 입에 오르내려 떠들썩하다
자작자작하다,액체가 점점 잦아들어 적다
자작하다,액체가 잦아들어 적다
자잘구레하다, 자질구레하다
자잘모름하다, 자잘하다
자잘부레하다, 자질구레하다
자잘펀하다, 질펀하다
자잘하다,여럿이 다 가늘거나 작다여러 가지 물건이나 일 또는 여러 생각이나 행동 따위가 다 작고 소소하다
자재기중하다,그 속에 저절로 들어 있다
자재롭다,속박이나 장애가 없이 마음대로이다
자지러지다,그림 조각 음악 수 따위가 정교하고 아름답다
자지레하다,자질구레하다의 준말
